,file_name,column_name,task_id,start_time,end_time,hostname,host_ip,pid,alert_type
0,feeder_NY_01/NY_01_12161.glm,None,3ddaab16-e629-4704-8f4f-4bda2b876ab0,1659421193.255945,1659421194.5088856,worker-958c7bb4d-8fwsk,192.168.27.247,10,SAVED_DATA
0,feeder_NY_01/NY_01_12268.glm,None,aa8976b7-e5d8-4c56-a617-164b8a262bf7,1659421193.3773723,1659421194.8841746,worker-958c7bb4d-rjgdp,192.168.75.14,10,SAVED_DATA
0,feeder_NY_01/NY_01_12262.glm,None,eb9f7b57-e6ab-4371-b40e-7d769536435e,1659421193.3472114,1659421194.677066,worker-958c7bb4d-8fwsk,192.168.27.247,9,SAVED_DATA
1,feeder_NY_01/NY_01_12261.glm,None,79006c69-78ab-4be7-971e-42831ed794e5,1659421193.3179643,1659421195.3306766,worker-958c7bb4d-rjgdp,192.168.75.14,11,SAVED_DATA
0,feeder_NY_01/NY_01_12464.glm,None,bf14d41c-aa6c-4592-9ecc-21bc8038a5c9,1659421194.737508,1659421196.093509,worker-958c7bb4d-8fwsk,192.168.27.247,9,SAVED_DATA
0,feeder_NY_01/NY_01_12272.glm,None,26b13844-30ec-4198-af65-cf593adab39f,1659421194.5728781,1659421195.7702832,worker-958c7bb4d-8fwsk,192.168.27.247,10,SAVED_DATA
0,feeder_NY_01/NY_01_12465.glm,None,b21426d8-5d7e-4a6c-860c-85d26ad6b95a,1659421195.4031954,1659421196.5214381,worker-958c7bb4d-rjgdp,192.168.75.14,11,SAVED_DATA
0,feeder_NY_01/NY_01_12462.glm,None,b2a661bc-25d8-4c41-9e49-37f557cf8660,1659421194.9573817,1659421196.479131,worker-958c7bb4d-rjgdp,192.168.75.14,10,SYSTEM_ERROR
0,feeder_NY_01/NY_01_12472.glm,None,fff075b7-240d-4c7d-9492-179655e97dad,1659421196.5779238,1659421197.3390477,worker-958c7bb4d-rjgdp,192.168.75.14,11,SYSTEM_ERROR
0,feeder_NY_01/NY_01_12473.glm,None,4b07300a-12f0-42a5-83cd-372c3aff3524,1659421197.0796938,1659421198.050619,worker-958c7bb4d-8fwsk,192.168.27.247,10,SYSTEM_ERROR
0,feeder_NY_01/NY_01_12466.glm,None,4c7d584c-bcc4-4403-bf47-b448e9214731,1659421195.8267868,1659421197.0219483,worker-958c7bb4d-8fwsk,192.168.27.247,10,SYSTEM_ERROR
1,feeder_NY_01/NY_01_12471.glm,None,46ed100b-c277-4cf2-a8ca-c73639e67178,1659421196.1434238,1659421197.2303293,worker-958c7bb4d-8fwsk,192.168.27.247,9,SAVED_DATA
0,feeder_NY_01/NY_01_12467.glm,None,0bc9750b-98e5-47d9-8158-aaa9eb831154,1659421196.5373504,1659421198.2231097,worker-958c7bb4d-rjgdp,192.168.75.14,10,SYSTEM_ERROR
0,feeder_NY_01/NY_01_12476.glm,None,961200d4-7740-46df-bede-52ca2643b1dd,1659421197.2749822,1659421199.0166395,worker-958c7bb4d-8fwsk,192.168.27.247,9,SAVED_DATA
0,feeder_NY_01/NY_01_12475.glm,None,eb40b78b-7256-40a9-9897-c72c68597afe,1659421197.3889856,1659421198.9590218,worker-958c7bb4d-rjgdp,192.168.75.14,11,SYSTEM_ERROR
0,feeder_NY_01/NY_01_12662.glm,None,e0bec2c7-671c-4b7d-a950-bd6345360007,1659421198.107417,1659421199.4839473,worker-958c7bb4d-8fwsk,192.168.27.247,10,SYSTEM_ERROR
0,feeder_NY_01/NY_01_12664.glm,None,6847458b-cae1-43cf-abd3-31cba5e34758,1659421199.0743887,1659421200.4077623,worker-958c7bb4d-8fwsk,192.168.27.247,9,SYSTEM_ERROR
