+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 8                                            |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 8                                            |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |       |
| average_task_duration        | 10.11                                        | 10.04                                        | 10.06                                        | 10.08                                        | 10.08                                        | 10.1                                         | 10.08   | 0.03  |
| min_duration                 | 0.42                                         | 0.42                                         | 0.45                                         | 0.42                                         | 0.4                                          | 0.44                                         |         |       |
| shortest_task                | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             |         |       |
| max_duration                 | 225.77                                       | 221.63                                       | 219.45                                       | 223.35                                       | 221.54                                       | 223.0                                        |         |       |
| longest_task                 | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         |         |       |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 448.95                                       | 441.52                                       | 438.55                                       | 443.11                                       | 438.91                                       | 444.42                                       | 442.58  | 3.87  |
| tasks_durtaion_sum           | 2021.8                                       | 2007.51                                      | 2011.95                                      | 2015.29                                      | 2016.81                                      | 2020.62                                      | 2015.66 | 5.37  |
| initial_process_time         | 255.36                                       | 51.09                                        | 43.56                                        | 43.72                                        | 43.96                                        | 43.69                                        | 80.23   | 85.85 |
| total_process_time           | 709.75                                       | 499.77                                       | 490.22                                       | 493.26                                       | 488.25                                       | 495.77                                       | 529.5   | 88.4  |
| effeciencyFactor             | 0.28                                         | 0.28                                         | 0.29                                         | 0.28                                         | 0.29                                         | 0.28                                         | 0.28    | 0.01  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
