,file_name,column_name,task_id,start_time,end_time,hostname,host_ip,pid,error
0,IEEE/37.glm,None,4ac3354a-e9ed-403f-9e5b-8969f12a7929,1660111919.0835197,1660111920.0722167,worker-59b9fdc984-6rfjh,192.168.61.61,10,"Error run the WARNING  [INIT] : object name  701-702  does not follow strict naming rules and may not link correctly during load time
ERROR    [INIT] : init_regulator_configuration(obj=84;unnamed): Only WYE_WYE regulator connections are fully supported in FBS & NR solvers at this time.
ERROR    [INIT] : init_by_deferral(): object regulator_configuration:84 initialization failed
ERROR    [INIT] : model initialization failed
FATAL    [INIT] : shutdown after simulation stopped prematurely
FATAL    [INIT] : environment startup failed: No such file or directory
"
0,PG&E-1/MC0006.glm,None,22e3f588-1ee1-4f92-a2ec-7e99bea42aa7,1660111862.2706578,1660111934.1047387,worker-59b9fdc984-vg25v,192.168.33.24,10,"Error run the Alarm clock
"
0,gridlabd-4/PG&E-1/MC0006.glm,None,f3a6744b-24c4-4ab1-a1bc-ca82bee1aa3f,1660111862.3252406,1660111934.3636725,worker-59b9fdc984-6hpq9,192.168.57.162,10,"Error run the Alarm clock
"
1,gridlabd-4/PG&E/MC0006.glm,None,4f235814-8cd9-49bb-9b58-70cb80e24762,1660111862.3534784,1660111934.526028,worker-59b9fdc984-x95wd,192.168.34.65,10,"Error run the Alarm clock
"
0,PG&E/MC0006.glm,None,1b59a8e6-2cd9-4402-98f3-697e9a39a780,1660111862.293645,1660111934.4800594,worker-59b9fdc984-9d2bl,192.168.56.136,10,"Error run the Alarm clock
"
0,gridlabd-5/PG&E/MC0006.glm,None,523a4e44-89d4-45a9-86f9-7db223aa725e,1660111862.3804379,1660111934.88434,worker-59b9fdc984-cmq8c,192.168.32.249,10,"Error run the Alarm clock
"
0,gridlabd-4/PG&E/HL0004.glm,None,fd07a99e-6aa0-4be7-848a-4f66ef5756a6,1660111862.2042117,1660111935.6116686,worker-59b9fdc984-6rfjh,192.168.61.61,11,"Error run the WARNING  [INIT] : object name  701-702  does not follow strict naming rules and may not link correctly during load time
ERROR    [INIT] : init_regulator_configuration(obj=84;unnamed): Only WYE_WYE regulator connections are fully supported in FBS & NR solvers at this time.
ERROR    [INIT] : init_by_deferral(): object regulator_configuration:84 initialization failed
ERROR    [INIT] : model initialization failed
FATAL    [INIT] : shutdown after simulation stopped prematurely
FATAL    [INIT] : environment startup failed: No such file or directory
Alarm clock
"
0,gridlabd-5/PG&E/HL0004.glm,None,7c002e00-0203-472d-a842-7f690df18f46,1660111862.2645683,1660111936.0713482,worker-59b9fdc984-vpxvq,192.168.43.48,9,"Error run the Alarm clock
"
0,PG&E-1/HL0004.glm,None,b0531b62-501a-4f51-afe7-a85652217a36,1660111862.1172931,1660111939.1375482,worker-59b9fdc984-qs9p6,192.168.28.218,11,"Error run the Alarm clock
"
0,gridlabd-4/PG&E-1/HL0004.glm,None,f18b968d-a939-40b1-bc9a-b5ac36e72499,1660111862.1769626,1660111939.5117643,worker-59b9fdc984-95768,192.168.10.84,10,"Error run the Alarm clock
"
0,PG&E/HL0004.glm,None,c304efbf-7dad-478e-9ff2-322fa50de351,1660111862.1516476,1660111940.0516255,worker-59b9fdc984-58xv5,192.168.9.130,11,"Error run the Alarm clock
"
0,gridlabd-5/PG&E/MC0001.glm,None,ec82ed23-c637-4cd1-87ff-4b77c4403695,1660111879.0975099,1660111946.4690232,worker-59b9fdc984-btfpq,192.168.63.157,10,"Error run the Alarm clock
"
0,gridlabd-5/PG&E/AL0001.glm,None,7c1fd0bd-7224-4e62-81b3-9ade4a061d7b,1660111893.7934513,1660111960.5850797,worker-59b9fdc984-xj78w,192.168.56.254,11,"Error run the Alarm clock
"
0,gridlabd-4/IEEE-1/37.glm,None,e8d2960d-8368-4029-8d0e-d2ebfb49c9c3,1660111968.0648232,1660111970.1690838,worker-59b9fdc984-vpxvq,192.168.43.48,10,"Error run the Alarm clock
WARNING  [INIT] : object name  701-702  does not follow strict naming rules and may not link correctly during load time
ERROR    [INIT] : init_regulator_configuration(obj=84;unnamed): Only WYE_WYE regulator connections are fully supported in FBS & NR solvers at this time.
ERROR    [INIT] : init_by_deferral(): object regulator_configuration:84 initialization failed
ERROR    [INIT] : model initialization failed
FATAL    [INIT] : shutdown after simulation stopped prematurely
FATAL    [INIT] : environment startup failed: No such file or directory
"
0,IEEE-1/37.glm,None,946367b7-53ee-468b-9acf-81c3aa7008a6,1660111973.9906254,1660111979.7155006,worker-59b9fdc984-95768,192.168.10.84,10,"Error run the Alarm clock
WARNING  [INIT] : object name  701-702  does not follow strict naming rules and may not link correctly during load time
ERROR    [INIT] : init_regulator_configuration(obj=84;unnamed): Only WYE_WYE regulator connections are fully supported in FBS & NR solvers at this time.
ERROR    [INIT] : init_by_deferral(): object regulator_configuration:84 initialization failed
ERROR    [INIT] : model initialization failed
FATAL    [INIT] : shutdown after simulation stopped prematurely
FATAL    [INIT] : environment startup failed: No such file or directory
"
0,gridlabd-4/PG&E-1/AT0001.glm,None,040ecdbc-e804-4a15-9f1b-760c602d42fc,1660111911.499458,1660111991.8129551,worker-59b9fdc984-ggf8f,192.168.71.73,11,"Error run the WARNING  [INIT] : object name  1  does not follow strict naming rules and may not link correctly during load time
Alarm clock
"
0,PG&E/AT0001.glm,None,b0f0733e-b532-4175-aabe-70c8b264c98d,1660111912.5457149,1660111992.7645085,worker-59b9fdc984-p7blq,192.168.94.57,11,"Error run the WARNING  [INIT] : object name  1  does not follow strict naming rules and may not link correctly during load time
Alarm clock
"
0,gridlabd-4/PG&E/AT0001.glm,None,1fa69a81-5f7a-47b3-aa90-ddca03a1b48b,1660111912.6444976,1660111993.631964,worker-59b9fdc984-l6hdp,192.168.67.11,11,"Error run the WARNING  [INIT] : object name  1  does not follow strict naming rules and may not link correctly during load time
Alarm clock
"
0,gridlabd-4/IEEE/37.glm,None,8bf727b2-3a03-4467-9eab-8817b7196698,1660111992.909791,1660111995.7759666,worker-59b9fdc984-vg25v,192.168.33.24,10,"Error run the Alarm clock
WARNING  [INIT] : object name  701-702  does not follow strict naming rules and may not link correctly during load time
ERROR    [INIT] : init_regulator_configuration(obj=84;unnamed): Only WYE_WYE regulator connections are fully supported in FBS & NR solvers at this time.
ERROR    [INIT] : init_by_deferral(): object regulator_configuration:84 initialization failed
ERROR    [INIT] : model initialization failed
FATAL    [INIT] : shutdown after simulation stopped prematurely
FATAL    [INIT] : environment startup failed: No such file or directory
"
0,PG&E-1/MC0001.glm,None,417e37dc-b310-428c-ad18-faff7c3eb719,1660111934.6021001,1660112001.8709588,worker-59b9fdc984-9d2bl,192.168.56.136,10,"Error run the Alarm clock
Alarm clock
"
0,PG&E/MC0001.glm,None,cf1cb27d-e0db-4b53-baa1-bba65bb7264c,1660111934.553459,1660112000.643667,worker-59b9fdc984-6hpq9,192.168.57.162,10,"Error run the Alarm clock
Alarm clock
"
0,gridlabd-4/PG&E/MC0001.glm,None,490c4e13-0f93-495a-8a14-876e26c89f61,1660111935.0036514,1660112002.3603582,worker-59b9fdc984-cmq8c,192.168.32.249,10,"Error run the Alarm clock
Alarm clock
"
0,gridlabd-4/PG&E-1/MC0001.glm,None,1b1e81a5-66ae-47e5-9190-354389a8d489,1660111934.6445873,1660112001.1382437,worker-59b9fdc984-x95wd,192.168.34.65,10,"Error run the Alarm clock
Alarm clock
"
0,gridlabd-5/PG&E/AT0001.glm,None,c895c7e5-1150-4b9a-b42e-2dcc24890452,1660111916.9034283,1660112001.3723512,worker-59b9fdc984-pbnqk,192.168.29.63,11,"Error run the Alarm clock
"
0,PG&E-1/AL0001.glm,None,53d9fbcd-adcc-40ab-8097-53a2a5c86208,1660111937.3260143,1660112004.7232335,worker-59b9fdc984-6hpq9,192.168.57.162,11,"Error run the Alarm clock
Alarm clock
Alarm clock
"
0,PG&E/AL0001.glm,None,5f301778-fab7-4b5e-b401-7a1acddab6ee,1660111937.8532605,1660112005.3366027,worker-59b9fdc984-x95wd,192.168.34.65,11,"Error run the Alarm clock
Alarm clock
Alarm clock
"
0,gridlabd-4/PG&E/AL0001.glm,None,0b41149e-2ef3-403b-a263-d5b67a69e470,1660111942.4741547,1660112010.907086,worker-59b9fdc984-btfpq,192.168.63.157,11,"Error run the Alarm clock
Alarm clock
"
0,gridlabd-4/PG&E-1/AL0001.glm,None,1637ae71-81c0-4c89-8a39-8809c3442159,1660111942.5967185,1660112012.266367,worker-59b9fdc984-cmq8c,192.168.32.249,11,"Error run the Alarm clock
Alarm clock
Alarm clock
"
0,gridlabd-5/IEEE/37.glm,None,b3be63ea-ece1-4b20-be14-f71d7608d038,1660112015.8717616,1660112017.9725096,worker-59b9fdc984-9d2bl,192.168.56.136,10,"Error run the Alarm clock
Alarm clock
WARNING  [INIT] : object name  701-702  does not follow strict naming rules and may not link correctly during load time
ERROR    [INIT] : init_regulator_configuration(obj=84;unnamed): Only WYE_WYE regulator connections are fully supported in FBS & NR solvers at this time.
ERROR    [INIT] : init_by_deferral(): object regulator_configuration:84 initialization failed
ERROR    [INIT] : model initialization failed
FATAL    [INIT] : shutdown after simulation stopped prematurely
FATAL    [INIT] : environment startup failed: No such file or directory
"
0,PG&E-1/AT0001.glm,None,1d48a2f5-9b9c-4e6f-aff6-0f8805d190f9,1660111948.2213044,1660112029.9045901,worker-59b9fdc984-t9wqb,192.168.66.138,10,"Error run the WARNING  [INIT] : object name  1  does not follow strict naming rules and may not link correctly during load time
Alarm clock
"
