+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |         |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |         |         |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |         |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |         |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |         |
| total_tasks                  | 188                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |         |
| average_task_duration        | 28.12                                        | 13.6                                         | 13.38                                        | 13.41                                        | 13.45                                        | 13.41                                        | 15.89   | 5.99    |
| min_duration                 | 0.4                                          | 0.4                                          | 0.48                                         | 0.46                                         | 0.43                                         | 0.35                                         |         |         |
| shortest_task                | IEEE/37.glm/None                             | IEEE-1/37.glm/None                           | IEEE/37.glm/None                             | IEEE/37.glm/None                             | gridlabd-5/IEEE/37.glm/None                  | gridlabd-5/IEEE/37.glm/None                  |         |         |
| max_duration                 | 162.52                                       | 67.35                                        | 67.39                                        | 67.51                                        | 67.41                                        | 66.96                                        |         |         |
| longest_task                 | taxonomy-1/R3-12470-3.glm/None               | PG&E/HL0004.glm/None                         | gridlabd-5/PG&E/HL0004.glm/None              | PG&E/HL0004.glm/None                         | gridlabd-4/PG&E-1/HL0004.glm/None            | PG&E-1/HL0004.glm/None                       |         |         |
| num_error_task               | 25                                           | 15                                           | 15                                           | 15                                           | 15                                           | 15                                           |         |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |         |
| task_duration_in_parallelism | 222.34                                       | 104.35                                       | 104.2                                        | 107.72                                       | 104.1                                        | 106.17                                       | 124.81  | 47.8    |
| tasks_durtaion_sum           | 5286.15                                      | 2719.93                                      | 2676.53                                      | 2681.75                                      | 2690.93                                      | 2681.41                                      | 3122.78 | 1059.94 |
| initial_process_time         | 264.54                                       | 52.29                                        | 83.4                                         | 47.34                                        | 47.34                                        | 53.19                                        | 91.35   | 85.92   |
| total_process_time           | 854.37                                       | 162.02                                       | 192.99                                       | 160.46                                       | 156.88                                       | 164.87                                       | 281.93  | 280.74  |
| effeciencyFactor             | 0.7                                          | 0.81                                         | 0.8                                          | 0.78                                         | 0.81                                         | 0.79                                         | 0.78    | 0.04    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
