+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+--------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean   | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+--------+--------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |        |        |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |        |        |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |        |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |        |        |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |        |        |
| total_tasks                  | 200                                          | 200                                          | 199                                          | 200                                          | 200                                          | 200                                          |        |        |
| average_task_duration        | 7.72                                         | 7.7                                          | 7.79                                         | 7.77                                         | 7.78                                         | 7.73                                         | 7.75   | 0.04   |
| min_duration                 | 7.18                                         | 7.16                                         | 7.18                                         | 7.18                                         | 7.17                                         | 7.18                                         |        |        |
| shortest_task                | PVO/PVOutput/18905.csv/Power(W)              | PVO/PVOutput/27489.csv/Power(W)              | PVO/PVOutput/18167.csv/Power(W)              | PVO/PVOutput/18144.csv/Power(W)              | PVO/PVOutput/1384.csv/Power(W)               | PVO/PVOutput/27353.csv/Power(W)              |        |        |
| max_duration                 | 12.67                                        | 12.45                                        | 12.94                                        | 13.05                                        | 12.64                                        | 12.77                                        |        |        |
| longest_task                 | PVO/PVOutput/16698.csv/Power(W)              | PVO/PVOutput/11526.csv/Power(W)              | PVO/PVOutput/12535.csv/Power(W)              | PVO/PVOutput/10877.csv/Power(W)              | PVO/PVOutput/23622.csv/Power(W)              | PVO/PVOutput/13869.csv/Power(W)              |        |        |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |        |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |        |        |
| task_duration_in_parallelism | 121.74                                       | 119.18                                       | 151.15                                       | 110.3                                        | 113.08                                       | 113.42                                       | 121.48 | 15.14  |
| tasks_durtaion_sum           | 1543.85                                      | 1539.24                                      | 1549.75                                      | 1553.41                                      | 1556.02                                      | 1546.34                                      | 1548.1 | 6.22   |
| initial_process_time         | 311.27                                       | 51.68                                        | 49.71                                        | 44.31                                        | 44.31                                        | 44.81                                        | 91.02  | 107.95 |
| total_process_time           | 438.92                                       | 176.84                                       | 567.29                                       | 160.53                                       | 163.29                                       | 164.2                                        | 278.51 | 178.73 |
| effeciencyFactor             | 0.75                                         | 0.72                                         | 0.57                                         | 0.47                                         | 0.76                                         | 0.72                                         | 0.67   | 0.12   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+--------+--------+
