+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of nodes              | 2                                            |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of workers            | 2                                            |                                              |                                              |                                              |                                              |                                              |         |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |        |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |        |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |        |
| average_task_duration        | 13.2                                         | 18.79                                        | 18.33                                        | 17.47                                        | 18.25                                        | 18.86                                        | 17.48   | 2.16   |
| min_duration                 | 7.84                                         | 7.95                                         | 7.77                                         | 7.95                                         | 7.88                                         | 7.9                                          |         |        |
| shortest_task                | PVO/PVOutput/16908.csv/Power(W)              | PVO/PVOutput/19147.csv/Power(W)              | PVO/PVOutput/27617.csv/Power(W)              | PVO/PVOutput/27353.csv/Power(W)              | PVO/PVOutput/20393.csv/Power(W)              | PVO/PVOutput/18905.csv/Power(W)              |         |        |
| max_duration                 | 30.99                                        | 32.97                                        | 31.39                                        | 32.39                                        | 32.42                                        | 32.57                                        |         |        |
| longest_task                 | PVO/PVOutput/24277.csv/Power(W)              | PVO/PVOutput/26918.csv/Power(W)              | PVO/PVOutput/13794.csv/Power(W)              | PVO/PVOutput/13521.csv/Power(W)              | PVO/PVOutput/12010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |         |        |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| task_duration_in_parallelism | 679.87                                       | 956.91                                       | 928.59                                       | 880.42                                       | 926.15                                       | 962.58                                       | 889.09  | 106.57 |
| tasks_durtaion_sum           | 2640.75                                      | 3758.0                                       | 3665.35                                      | 3493.24                                      | 3649.04                                      | 3771.47                                      | 3496.31 | 430.83 |
| initial_process_time         | 54.01                                        | 48.6                                         | 48.68                                        | 44.32                                        | 44.46                                        | 48.63                                        | 48.12   | 3.56   |
| total_process_time           | 742.78                                       | 1012.77                                      | 984.81                                       | 930.65                                       | 976.66                                       | 1021.58                                      | 944.88  | 104.06 |
| effeciencyFactor             | 0.97                                         | 0.98                                         | 0.99                                         | 0.99                                         | 0.99                                         | 0.98                                         | 0.98    | 0.01   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
