+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std     |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of nodes              | 12                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of workers            | 12                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |         |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |         |
| average_task_duration        | 35.28                                         | 37.03                                         | 37.25                                         | 40.88                                         | 48.19                                         | 47.72                                         | 41.06    | 5.65    |
| min_duration                 | 12.77                                         | 20.28                                         | 20.52                                         | 20.52                                         | 18.55                                         | 20.68                                         |          |         |
| shortest_task                | PVO/PVOutput/23622.csv/Power(W)               | PVO/PVOutput/30566.csv/Power(W)               | PVO/sys_meta.csv/Panel Power(W)               | PVO/PVOutput/17026.csv/Power(W)               | PVO/PVOutput/44587.csv/Power(W)               | PVO/PVOutput/46236.csv/Power(W)               |          |         |
| max_duration                 | 108.06                                        | 88.69                                         | 85.47                                         | 90.72                                         | 84.48                                         | 84.13                                         |          |         |
| longest_task                 | PVO/PVOutput/42614.csv/Power(W)               | PVO/PVOutput/30758.csv/Power(W)               | PVO/PVOutput/43799.csv/Power(W)               | PVO/PVOutput/2258.csv/Power(W)                | PVO/PVOutput/5608.csv/Power(W)                | PVO/PVOutput/8008.csv/Power(W)                |          |         |
| num_error_task               | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| task_duration_in_parallelism | 1013.33                                       | 1062.82                                       | 1056.28                                       | 1160.76                                       | 1313.88                                       | 1342.31                                       | 1158.23  | 140.44  |
| tasks_durtaion_sum           | 22722.09                                      | 23847.43                                      | 23987.42                                      | 26325.72                                      | 31034.14                                      | 30729.97                                      | 26441.13 | 3635.45 |
| initial_process_time         | 194.22                                        | 74.09                                         | 65.31                                         | 65.7                                          | 56.82                                         | 48.96                                         | 84.18    | 54.58   |
| total_process_time           | 1217.3                                        | 1146.0                                        | 1133.49                                       | 1238.86                                       | 1384.01                                       | 1399.33                                       | 1253.16  | 114.7   |
| effeciencyFactor             | 0.93                                          | 0.93                                          | 0.95                                          | 0.94                                          | 0.98                                          | 0.95                                          | 0.95     | 0.02    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
